Gene ID/title,logFC,adj.P.Val,"LEC control, rep1","LEC control, rep2","LEC control, rep3","LEC control, rep4","LEC control, rep5","LEC control, rep6","LEC KSHV 72h, rep1","LEC KSHV 72h, rep2","LEC KSHV 72h, rep3","LEC KSHV 72h, rep4","LEC KSHV 72h, rep5","LEC KSHV 72h, rep6"
5921,-0.45436,0.000013002,10.246,10.190,10.253,9.9894,10.036,10.176,9.7112,9.6412,9.8393,9.6908,9.5785,9.7027
5037,-0.49743,0.000013002,10.981,10.708,10.737,10.887,10.677,10.622,10.158,10.279,10.411,10.295,10.263,10.221
80145,-0.38402,0.000013008,9.5368,9.5296,9.4596,9.6495,9.5399,9.5846,9.2259,9.0321,9.1153,9.1823,9.2633,9.1770
65993,-0.34979,0.000013024,8.9674,8.9439,8.9967,9.0086,8.8673,9.0962,8.6524,8.6785,8.5724,8.6270,8.6295,8.6216
51258,-0.34770,0.000013039,11.595,11.657,11.694,11.574,11.648,11.598,11.372,11.299,11.185,11.255,11.334,11.234
57037,-0.77074,0.000013187,8.6906,8.5453,8.5199,8.1533,8.1767,8.0077,7.6553,7.6015,7.4975,7.4966,7.5866,7.6316
221908,-0.44910,0.000013249,8.4636,8.5367,8.4692,8.4460,8.2885,8.2949,8.0898,8.0512,7.8517,7.8780,7.9820,7.9516
595,0.73632,0.000013406,9.8066,9.7243,9.7487,10.140,10.038,10.070,10.637,10.352,10.641,10.905,10.824,10.587
84991,-0.40013,0.000013435,8.4835,8.6207,8.4735,8.5546,8.4348,8.3569,8.1358,8.0420,8.0026,8.1812,8.1075,8.0540
5832,-0.36269,0.000013466,9.3333,9.2370,9.3187,9.2600,9.3125,9.2241,8.9813,8.8130,8.9287,8.8935,8.8614,9.0317
11051,-0.38095,0.000013529,9.2180,9.1610,9.1489,9.1492,9.1742,8.9531,8.8087,8.7052,8.8071,8.7139,8.7560,8.7279
22856,0.61868,0.000013529,9.5540,9.0859,9.4983,9.2073,9.2603,9.2054,10.070,9.8966,10.053,9.7987,9.8625,9.8424
26073,-0.36044,0.000013731,9.3028,9.3019,9.2560,9.3790,9.2899,9.4930,8.9947,8.9663,8.9463,8.9469,8.9818,9.0238
202658///79897///56658,-0.37312,0.000013906,8.2402,8.1775,8.0849,8.1684,8.1491,8.2862,7.8145,7.8837,7.6833,7.8544,7.8340,7.7977
692088///387066///26799,-0.32650,0.000014068,12.571,12.536,12.476,12.581,12.490,12.590,12.193,12.195,12.207,12.224,12.307,12.160
9686,0.57942,0.000014081,8.8599,8.8315,8.9381,8.7023,8.6326,8.6766,9.3959,9.5277,9.4905,9.1538,9.1646,9.3850
728689///8663,-0.33239,0.000014099,11.718,11.719,11.825,11.850,11.827,11.742,11.504,11.428,11.410,11.405,11.443,11.497
80347,-0.40279,0.000014100,9.3058,9.1271,9.1039,9.0439,9.1662,9.0670,8.6112,8.7123,8.7246,8.7887,8.7828,8.7777
29087,-0.41322,0.000014168,9.2047,9.1267,9.0807,9.0929,9.0561,8.8726,8.5918,8.7030,8.6955,8.6059,8.6554,8.7028
101929716///9551,-0.36641,0.000014485,11.787,11.789,11.687,11.827,11.813,11.711,11.405,11.334,11.314,11.378,11.511,11.474
171546,0.40038,0.000014502,8.9710,8.7647,8.9108,9.0480,8.9641,8.8038,9.3379,9.2862,9.3784,9.2910,9.3012,9.2700
65005,-0.39119,0.000014753,10.090,9.9919,9.8789,9.9664,9.9784,9.8047,9.6217,9.5110,9.5639,9.5087,9.6159,9.5421
60491,-0.37214,0.000014825,8.5813,8.3798,8.4803,8.4537,8.5027,8.4434,8.1700,7.9868,8.0861,8.0586,8.1842,8.1225
101927137///7203,-0.37513,0.000014899,11.788,11.819,11.762,11.896,11.837,11.915,11.411,11.352,11.441,11.582,11.528,11.452
3714,0.34067,0.000015169,9.0533,9.0402,9.0739,9.0167,9.0398,9.2022,9.3781,9.3556,9.3943,9.4349,9.4235,9.4837
55177,0.35321,0.000015230,8.6831,8.6639,8.6213,8.8132,8.7285,8.7838,9.0642,9.0956,9.0580,8.9789,9.0895,9.1268
3983,-0.68238,0.000015472,8.7997,8.7905,8.7598,8.4767,8.5093,8.4595,7.9806,8.0777,8.1445,7.7401,7.7091,8.0492
4171,-0.55746,0.000015986,9.5434,9.4538,9.5920,9.4429,9.4119,9.1804,8.9746,8.7203,8.7215,9.0089,8.9687,8.8855
83463,-0.46843,0.000016000,8.2742,8.3547,8.1085,8.3192,8.5547,8.3529,7.9311,7.8571,7.8329,7.7933,7.8547,7.8846
11332,0.48152,0.000016131,9.3520,9.2518,9.1819,9.4162,9.3209,9.5039,9.8824,9.7005,9.6903,9.9272,9.9266,9.7887
