Gene ID/title,logFC,adj.P.Val,"LEC control, rep1","LEC KSHV 72h, rep1","LEC control, rep2","LEC KSHV 72h, rep2","LEC control, rep3","LEC KSHV 72h, rep3","LEC control, rep4","LEC KSHV 72h, rep4","LEC control, rep5","LEC KSHV 72h, rep5","LEC control, rep6","LEC KSHV 72h, rep6"
162,0.19755,0.0046163,8.6473,8.8641,8.5213,8.7875,8.7398,8.8754,8.6588,8.8072,8.6724,8.7445,8.4909,8.8369
2805,-0.16834,0.0046179,8.3345,8.2423,8.3516,8.2358,8.4269,8.2747,8.3684,8.1771,8.3721,8.1728,8.3526,8.0932
81858,-0.22607,0.0047194,8.0770,7.9329,8.2868,8.1275,8.2316,7.8717,8.1278,7.9384,8.0520,7.9363,8.2698,7.8819
100288695///3987,-0.32011,0.0047754,10.869,10.517,10.872,10.608,10.789,10.717,10.635,10.228,10.712,10.386,11.040,10.540
150368,-0.26669,0.0047754,8.4990,8.0628,8.1007,8.0246,8.4791,8.1784,8.2634,8.0651,8.2884,7.8953,8.3063,8.1105
6499,-0.17338,0.0047777,8.6010,8.3325,8.6275,8.4421,8.6215,8.3413,8.5049,8.4038,8.5266,8.3669,8.4709,8.4257
3597,0.24269,0.0047797,8.6323,8.9279,8.6311,8.7767,8.5384,8.8279,8.4484,8.6395,8.3536,8.6647,8.5789,8.8020
10452,-0.26121,0.0047944,8.8850,8.7610,9.0681,8.7134,9.0383,8.5874,9.0144,8.7309,8.9045,8.7803,8.7236,8.4936
10250,-0.17625,0.0047995,9.2050,9.0161,9.2685,9.0203,9.2903,9.1483,9.3330,9.1206,9.2712,9.0455,9.1653,9.1251
112464,0.24293,0.0048227,9.1358,9.3648,9.1383,9.4903,9.3335,9.3908,9.2692,9.3273,9.1728,9.3841,8.9243,9.4743
47,-0.19696,0.0048303,10.446,10.330,10.444,10.337,10.497,10.428,10.592,10.308,10.518,10.288,10.695,10.319
1537,-0.18349,0.0048312,10.607,10.361,10.625,10.364,10.549,10.346,10.654,10.371,10.564,10.401,10.448,10.504
57050,0.16416,0.0048352,9.0774,9.3059,9.0602,9.2745,9.0760,9.2352,9.1816,9.3229,9.1206,9.3099,9.1429,9.1953
382,-0.27478,0.0048726,9.9524,9.8483,10.070,9.7694,10.105,9.6865,10.224,10.004,10.200,10.036,10.305,9.8641
128240,-0.15646,0.0048781,9.6966,9.4396,9.6174,9.4314,9.5747,9.4017,9.5754,9.4548,9.5746,9.4756,9.5631,9.4599
10483,0.32967,0.0048800,8.0105,8.2123,7.7789,8.0899,7.7849,8.3316,8.1554,8.4357,8.2182,8.4652,7.9834,8.3750
1020,0.22837,0.0049496,8.5843,8.5783,8.3095,8.7198,8.5082,8.6777,8.3598,8.5595,8.2464,8.5837,8.3957,8.6551
7009,0.20173,0.0049710,11.431,11.640,11.463,11.659,11.484,11.648,11.419,11.486,11.401,11.564,11.226,11.639
9667,-0.20834,0.0049736,8.0545,7.8937,8.0731,7.8419,8.1722,7.7397,8.0014,7.8853,8.2133,7.9747,8.0582,7.9874
23787,-0.15727,0.0049900,12.056,11.924,12.039,11.895,12.050,11.841,12.051,11.849,12.033,11.976,12.118,11.919
